from,to,major_organ,tumor_group
post-implantation embryonic,foregut,NA,NA
post-implantation embryonic,midgut,NA,NA
post-implantation embryonic,hindgut,NA,NA
post-implantation embryonic,ureteric bud,NA,NA
post-implantation embryonic,aorta gonad mesonephros,NA,NA
neuroectoderm,neural tube,NA,NA
neural tube,ganglionic eminence,NA,NA
neural tube,optic vesicle,NA,NA
aorta gonad mesonephros,mesonephros,NA,NA
post-implantation extraembryonic,placenta,NA,NA
placenta,placental barrier,NA,NA
placenta,fetal membrane,NA,NA
fetal membrane,amnion,NA,NA
