name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
optic vesicle,0,72,426.8571429,-0.1,0,ocular,,,,optic vesicle,11,not modelled
oral,10,NA,0,0.5,1.5,oral,oral,,,,13,oral
osteochondral,29,NA,0,0.5,1.5,musculoskeletal,,,osteochondral,,10,musculoskeletal
otic,2,NA,0,0.5,1.5,otic,otic,,,,3,other
ovary,2,86,294.8571429,1.1,0,reproductive,,,,ovary,14,reproductive
oviduct,4,87,298.2857143,1.1,0,reproductive,,,,oviduct,14,reproductive
pancreas,24,NA,0,0.4,1.4,"hepatic, pancreatic, biliary",,,pancreas,,12,"hepatic, pancreatic, biliary"
pancreatic duct,0,33,293.1428571,-0.1,0,"hepatic, pancreatic, biliary",,,,pancreatic duct,12,not modelled
parathyroid,1,14,48,1.1,0,endocrine,,,,parathyroid,6,endocrine
parotid gland,0,74,433.7142857,-0.1,0,oral,,,,parotid gland,13,not modelled
periodontium,1,82,281.1428571,1.1,0,oral,,,,periodontium,13,oral
perivascular niche,2,7,24,1.1,0,cardiovascular,,,,perivascular niche,11,cardiovascular
pituitary,0,59,382.2857143,-0.1,0,neural,,,,pituitary,32,not modelled
pleura,0,99,339.4285714,1.1,0,respiratory,,,,pleura,10,not modelled
primary lymphoid,14,NA,0,0.5,1.5,lymphatic,,,primary lymphoid,,12,lymphatic
prostate,2,92,315.4285714,1.1,0,reproductive,,,,prostate,14,reproductive
proximal tubule,20,104,356.5714286,1.1,0,urinary,,,,proximal tubule,10,urinary
rectum,0,20,68.57142857,1.1,0,gastrointestinal,,,,rectum,18,not modelled
renal tubule,25,NA,0,0.5,1.5,urinary,,,renal tubule,,10,urinary
reproductive,30,NA,0,0.5,1.5,reproductive,reproductive,,,,14,reproductive
respiratory,88,NA,0,0.5,1.5,respiratory,respiratory,,,,10,respiratory
retina,6,NA,0,0.5,1.5,ocular,,,retina,,11,ocular
salivary gland,0,NA,0,0.3,-1.5,oral,,,salivary gland,,13,not modelled
sebaceous gland,0,10,34.28571429,1.1,0,dermal,,,,sebaceous gland,6,not modelled
secondary lymphoid,5,NA,0,0.5,1.7,lymphatic,,,secondary lymphoid,,12,lymphatic
sinus,1,38,310.2857143,-0.1,0,lymphatic,,,,sinus,12,lymphatic
sinusoid,7,31,286.2857143,-0.1,0,"hepatic, pancreatic, biliary",,,,sinusoid,12,"hepatic, pancreatic, biliary"
small intestine,6,NA,0,0.5,1.5,gastrointestinal,,,small intestine,,18,gastrointestinal
spinal cord,1,65,402.8571429,-0.1,0,neural,,,,spinal cord,32,neural
spine,4,NA,0,0.5,1.5,neural,,,spine,,32,neural
spleen,1,39,313.7142857,-0.1,0,lymphatic,,,,spleen,12,lymphatic
stomach,3,NA,0,0.5,1.5,gastrointestinal,,,stomach,,18,gastrointestinal
striatum,0,55,368.5714286,-0.1,0,neural,,,,striatum,32,not modelled
submandibular gland,0,75,437.1428571,-0.1,0,oral,,,,submandibular gland,13,not modelled
sweat gland,0,11,37.71428571,1.1,0,dermal,,,,sweat gland,6,not modelled
synovial joint,2,NA,0,0.5,1.5,musculoskeletal,,,synovial joint,,10,musculoskeletal
synovium,1,44,330.8571429,-0.1,0,musculoskeletal,,,,synovium,10,musculoskeletal
taste bud,0,77,444,-0.1,0,oral,,,,taste bud,13,not modelled
tendon,1,48,344.5714286,-0.1,0,musculoskeletal,,,,tendon,10,musculoskeletal
testes,1,93,318.8571429,1.1,0,reproductive,,,,testes,14,reproductive
thalamus,0,60,385.7142857,-0.1,0,neural,,,,thalamus,32,not modelled
thymus,0,36,303.4285714,-0.1,0,lymphatic,,,,thymus,12,not modelled
thyroid,2,NA,0,0.5,1.5,endocrine,,,thyroid,,6,endocrine
thyroid gland,0,15,51.42857143,1.1,0,endocrine,,,,thyroid gland,6,not modelled
tongue,1,NA,0,0.5,1.5,oral,,,tongue,,13,oral
tonsil,0,40,317.1428571,-0.1,0,lymphatic,,,,tonsil,12,not modelled
tooth,5,NA,0,0.5,1.5,oral,,,tooth,,13,oral
trachea,0,NA,0,0.5,1.5,respiratory,,,trachea,,10,not modelled
tracheosphere,0,94,322.2857143,1.1,0,respiratory,,,,tracheosphere,10,not modelled
umbo,0,84,288,1.1,0,otic,,,,umbo,3,not modelled
urethra,0,105,360,1.1,0,urinary,,,,urethra,10,not modelled
urinary,88,NA,0,0.5,1.5,urinary,urinary,,,,10,urinary
uterus,12,NA,0,0.5,1.5,reproductive,,,uterus,,14,reproductive
vagina,0,90,308.5714286,1.1,0,reproductive,,,,vagina,14,not modelled
valve,4,3,10.28571429,1.1,0,cardiovascular,,,,valve,11,cardiovascular
vascular,165,NA,0,0.5,1.5,cardiovascular,,,vascular,,11,cardiovascular
white adipose tissue,6,1,3.428571429,1.1,0,adipose,,,,white adipose tissue,2,other
