name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
synovial joint,2,NA,0,0.5,1.2,musculoskeletal,,,synovial joint,,12,musculoskeletal
synovium,0,47,324.6153846,-0.1,0,musculoskeletal,,,,synovium,12,not modelled
taste bud,9,84,438.4615385,-0.1,0,oral,,,,taste bud,14,oral
tendon,1,51,336.9230769,-0.1,0,musculoskeletal,,,,tendon,12,musculoskeletal
testes,31,100,307.6923077,1.1,0,reproductive,,,,testes,14,reproductive
thalamus,2,63,373.8461538,-0.1,0,neural,,,,thalamus,36,neural
thymus,26,37,293.8461538,-0.1,0,lymphatic,,,,thymus,12,lymphatic
thyroid,20,NA,0,0.5,1.2,endocrine,,,thyroid,,6,endocrine
thyroid gland,0,16,49.23076923,1.1,0,endocrine,,,,thyroid gland,6,not modelled
tongue,16,NA,0,0.5,-0.8,oral,,,tongue,,14,oral
tonsil,8,41,306.1538462,-0.1,0,lymphatic,,,,tonsil,12,lymphatic
tooth,17,NA,0,0.5,1.2,oral,,,tooth,,14,oral
trachea,3,NA,0,0.5,1.2,respiratory,,,trachea,,16,respiratory
tracheosphere,1,105,323.0769231,1.1,0,respiratory,,,,tracheosphere,16,respiratory
umbo,2,91,280,1.1,0,otic,,,,umbo,3,other
urethra,1,117,360,1.1,0,urinary,,,,urethra,10,urinary
urinary,275,NA,0,0.5,1.2,urinary,urinary,,,,10,urinary
uterus,73,NA,0,0.5,1.2,reproductive,,,uterus,,14,reproductive
vagina,2,97,298.4615385,1.1,0,reproductive,,,,vagina,14,reproductive
valve,1,4,12.30769231,1.1,0,cardiovascular,,,,valve,11,cardiovascular
vascular,53,NA,0,0.5,1.2,cardiovascular,,,vascular,,11,cardiovascular
ventral midbrain,0,57,355.3846154,-0.1,0,neural,,,,ventral midbrain,36,not modelled
white adipose tissue,1,2,6.153846154,1.1,0,adipose,,,,white adipose tissue,3,other
